180314 0052 00001  501  23                                             1822 G 
180314 0054 00146           501  01            1822                92338830 7 
180314 0054 00159  501  23                                             1822 9 
180314 0545 00026           501  01            1821                  014550 7 
180314 0546 00005           501  01            1822                   24060 7 
180314 0717 00002  501  24                     4191                    1822 G 
180314 0717 00020  501  24                     4191                    1822 9 
180314 0718 00007           501  01            1822                   24060 7 
180314 0718 00022           501  01            1822                   23885 7 
180314 0729 00026  501  25                     4202                    1822 H 
180314 0730 00003  501  26                     4202                    1822 G 
180314 0730 00012  501  26                     4202                    1822 9 
180314 0805 00002  501  27                                             1822 G 
180314 0805 00009  501  27                                             1822 9 
180314 0809 00054           501  01            1824                   01858 7 
180314 0812 00004  501  28                    01426                    1822 G 
180314 0812 00026  501  28                    01426                    1822 9 
180314 0829 00003  501  29                    01426                    1822 G 
180314 0830 00042  501  29                    01426                    1822 9 
180314 0830 00015  501  30                     4151                    1822 G 
180314 0830 00000  501  30                     4151                    1822 9 
180314 0830 00015           501  01            1822                    4151 7 
180314 0832 00002  501  01                     4111                    1835 G 
180314 0833 00104  501  01                     4111                    1835 9 
180314 0835 00001  501  02                    01443                    1821 G 
180314 0836 00122  501  02                    01443                    1821 9 
180314 0840 00003  501  03                                             1822 G 
180314 0841 00016  501  03                                             1822 9 
180314 0848 00008  501  04                    01837                    1824 G 
180314 0848 00009  501  04                    01837                    1824 9 
180314 0849 00017  501  05               9040691528                    1983 9 
180314 0853 00011  501  07                   015514                    1431 H 
180314 0854 00003  501  08               9612591050                    1822 G 
180314 0855 00016  501  08               9612591050                    1822 9 
180314 0855 00046           501  01            1835                    1832 7 
180314 0856 00011           501  01            1835                    1810 7 
180314 0856 00004  501  09                     1810                    1835 G 
180314 0857 00039  501  09                     1810                    1835 9 
180314 0857 00012  501  10                     1828                    1835 G 
180314 0858 00021           501  01            1822                    4021 7 
180314 0858 00112  501  10                     1828                    1835 9 
180314 0859 00016  501  11               9200234582                    1983 9 
180314 0859 00028           501  01            1822                    4011 7 
180314 0859 00027           501  02            1835                    1454 7 
180314 0900 00032           501  01            1822                   22124 7 
180314 0901 00004  501  12                     1832                    1835 G 
180314 0902 00031  501  12                     1832                    1835 9 
180314 0903 00002  501  13                     4061                    1835 G 
180314 0904 00107  501  13                     4061                    1835 9 
180314 0904 00002  501  14                     4021                    1822 G 
180314 0905 00025  501  14                     4021                    1822 9 
180314 0906 00000  501  15                     1015                    1855 I 
180314 0906 00003           501  01            1858                    1981 7 
180314 0906 00003  501  16                     1015                    1858 9 
180314 0907 00015  501  17                     4061                    1835 H 
180314 0908 00000  501  18               9612591050                    1885 H 
180314 0908 00000  501  19               9612591050                    1885 H 
180314 0909 00012           501  01            1835                92736976 7 
180314 0909 00008  501  20                    01858                    1824 G 
180314 0910 00019  501  20                    01858                    1824 9 
180314 0911 00002  501  21                     4181                    1822 G 
180314 0912 00026  501  22                     4081                    1822 H 
180314 0912 00058  501  21                     4181                    1822 9 
180314 0913 00006  501  23                     1240                    1822 G 
180314 0914 00002           501  01            1429                    1981 7 
180314 0914 00003  501  24               8314340043                    1429 9 
180314 0914 00003           501  02            1822                    1981 7 
180314 0914 00003  501  25                     4015                    1822 9 
180314 0915 00002  501  26                     4015                    1821 G 
180314 0915 00118  501  23                     1240                    1822 9 
180314 0915 00014  501  26                     4015                    1821 9 
180314 0915 00017           501  01            1822                    4015 7 
180314 0917 00035           501  01            1822                   04345 7 
180314 0918 00023  501  27                    01858                    1850 H 
180314 0918 00000  501  28               9612591050                    1885 H 
180314 0919 00000  501  29               9612591050                    1885 H 
180314 0919 00000  501  30                     1920                    1855 I 
180314 0919 00059           501  01            1850                   01858 7 
180314 0919 00018  501  01                     1920                    1853 H 
180314 0919 00042           501  02            1822                  101633 7 
180314 0921 00018  501  05                     4081                    1822 9 
180314 0921 00000  501  06                     1943                    1855 I 
180314 0922 00002  501  07                     1878                    1826 9 
180314 0922 00002           501  01            1826                    1981 7 
180314 0924 00012  501  08                     4014                    1822 G 
180314 0924 00003  501  09                     4191                    1835 G 
180314 0924 00000  501  10                     1920                    1855 I 
180314 0925 00018  501  08                     4014                    1822 9 
180314 0925 00000  501  12                   011036                    1855 I 
180314 0925 00000  501  13                   011036                    1855 I 
180314 0925 00003  501  11                     1920                    1853 9 
180314 0925 00003           501  02            1853                    1981 7 
180314 0925 00000  501  14                     1920                    1855 I 
180314 0925 00000  501  15                     1920                    1855 I 
180314 0925 00000  501  16                     1920                    1855 I 
180314 0925 00000  501  17                     1920                    1855 I 
180314 0925 00000  501  18                     1920                    1855 I 
180314 0925 00000  501  19                     1920                    1855 I 
180314 0925 00000  501  20                     1920                    1855 I 
180314 0925 00000  501  21                     1958                    1855 I 
180314 0926 00027  501  22                     1958                    1850 H 
180314 0926 00149  501  09                     4191                    1835 9 
180314 0927 00017  501  24                    01528                    1424 H 
180314 0927 00003  501  25                     1944                    1858 9 
180314 0927 00002           501  04            1858                    1981 7 
180314 0927 00042           501  02            1440                   01440 7 
180314 0927 00058  501  23               9503701685                    1440 9 
180314 0928 00003  501  26                                             1822 G 
180314 0928 00053           501  03            1835                    4191 7 
928 00000  501  27                     1943                    1855 I 
180314 0929 00002           501  04            1853                    1981 7 
180314 0929 00003  501  28                     1943                    1853 9 
180314 0929 00040           501  02            1854                    1443 7 
180314 0929 00031           501  03            1835                92305580 7 
180314 0929 00000  501  29                     1935                    1855 I 
180314 0930 00000  501  30                     1943                    1855 I 
180314 0931 00008  501  02                     4105                    1854 G 
180314 0931 00258  501  26                                             1822 9 
180314 0932 00126  501  02                     4105                    1854 9 
180314 0933 00000  501  04                     1015                    1855 I 
180314 0933 00026  501  03                    04237                    1856 H 
180314 0933 00003           501  02            1850                    1981 7 
180314 0933 00003  501  05                     1015                    1850 9 
180314 0934 00000  501  06               9202545835                    1855 I 
936 00006  501  07                    01858                    1440 G 
180314 0937 00044  501  07                    01858                    1440 9 
180314 0938 00028  501  09                    01858                    1424 H 
180314 0938 00012  501  10                     1101                    1412 H 
180314 0938 00012  501  11                     4191                    1835 G 
180314 0939 00002  501  12                                             1822 G 
180314 0939 00048  501  11                     4191                    1835 9 
180314 0940 00005  501  13                    01426                    1428 G 
180314 0942 00001  501  19               8314214441                    1885 H 
180314 0942 00002           501  02            1426                    1981 7 
180314 0942 00002  501  18                     1944                    1426 9 
180314 0942 00002       16  501  02            1850                    1981 7 
180314 0942 00000  501  20               8314214478                    1855 I 
180314 0943 00019  501  22                     1944                    1858 H 
180314 0943 00003           501  02            1851                    1981 7 
